"name","id","attack_speed","damage","tier","weight","cost","damage_type","projectile_speed","weight_increase_per_purchase","max_weight_increase_purchases","asset_name"
"Копье","101","0,5","10","1","20","100","Piercing","25","0","0","Spear"
"Валун","102","0,5","10","1","20","100","Heavy","17","0","0","Stone"
"Топор","103","0,7","7","1","20","100","Normal","20","0","0","Axe"
"Магическая сфера","104","1","5","1","20","100","Magic","17","0","0","MagicOrb"
"Сфера Хаоса","105","1","5","1","20","100","Chaos","17","0","0","ChaosOrb"
"Арбалет","106","1,25","4","1","20","100","Projectile","25","0","0","Bow"
"Монета","107","0,8","2","1","20","100","Normal","15","0","0","Coin"
"Мортира","201","0,3","80","2","8","400","Heavy","15","0","0","Mortar"
"Самонаводящая ракета","202","1,2","18","2","8","400","Piercing","20","0","0","Missles"
"Ударная волна","203","0,6","30","2","8","400","Normal","20","0","0","ShockWave"
"Жизнесос","204","2","6","2","8","400","Chaos","10","0","0","LifeLaser"
"Ледяная стрела","205","0,7","15","2","8","400","Magic","18","0","0","IceBullet"
"Чакрам","206","1","9","2","8","400","Projectile","15","0","0","Bounce"
"Цепная молния","207","0,5","10","2","8","400","Magic","10","0","0","ChainLighting"
"Концентрация магии","301","2","45","3","4","1500","Piercing","10","0","0","laser"
"Балиста","302","0,35","240","3","4","1500","Projectile","60","0","0","Balista"
"Бревно","303","0,4","140","3","4","1500","Heavy","13","0","0","Log"
"Молот шторма","304","0,5","170","3","4","1500","Normal","20","0","0","Hammer"
"Торнадо","305","0,65","75","3","4","1500","Magic","20","0","0","Tornado"
"Устрашение","306","0,6","75","3","4","1500","Chaos","25","0","0","ChaosWave"
"Катапульта","307","0,35","50","3","4","1500","Heavy","10","0","0","Catapult"
"Молния смерти","308","0,6","30","3","4","1500","Piercing","10","0","0","LightingDeath"
"Вращающиеся клинки","401","1","125","4","2","3000","Normal","10","0","0","SlashingSpin"
"Ледяная буря","402","0,6","200","4","2","3000","Magic","10","0","0","Blizzard"
"Астеройд","403","0,3","345","4","2","3000","Heavy","18","0","0","Meteor"
"Огонь рока","404","1","115","4","2","3000","Chaos","10","0","0","ChaosFire"
"Цикл","405","0,2","150","4","2","3000","Magic","10","0","0","MagicCircle"
"Ультимативный лазер","406","2","35","4","2","3000","Piercing","10","0","0","UltimateLaser"
