Key,English(en),Russian(ru),German(de),Spanish(es),Portuguese(pt),French(fr)
basic_shield.name,<color=#ffd700>Energy Shield</color>,<color=#ffd700>Энергетический щит</color>,<color=#ffd700>Energieschild</color>,<color=#ffd700>Escudo de energía</color>,<color=#ffd700>Escudo de energia</color>,<color=#ffd700>Bouclier d'énergie</color>
basic_shield.desc,Shield: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Cost: {1}</color>,Щит: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Schild: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Kosten: {1}</color>,Escudo: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coste: {1}</color>,Escudo: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Custo: {1}</color>,Bouclier: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coût: {1}</color>
max_health.name,<color=#ffd700>Reinforcement</color>,<color=#ffd700>Укрепление</color>,<color=#ffd700>Verstärkung</color>,<color=#ffd700>Refuerzo</color>,<color=#ffd700>Reforço</color>,<color=#ffd700>Renforcement</color>
max_health.desc,Health: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Cost: {1}</color>,Здоровье: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Leben: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Kosten: {1}</color>,Salud: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coste: {1}</color>,Vida: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Custo: {1}</color>,Vie: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coût: {1}</color>
basic_regen.name,<color=#ffd700>Repair</color>,<color=#ffd700>Починка</color>,<color=#ffd700>Reparatur</color>,<color=#ffd700>Reparación</color>,<color=#ffd700>Reparo</color>,<color=#ffd700>Réparation</color>
basic_regen.desc,Health Regeneration <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Cost: {1}</color>,Регенерация здоровья <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Lebensregeneration <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Kosten: {1}</color>,Regeneración de salud <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coste: {1}</color>,Regeneração de vida <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Custo: {1}</color>,Régénération de vie <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coût: {1}</color>
basic_spike.name,<color=#ffd700>Thorny Defense</color>,<color=#ffd700>Шипастая оборона</color>,<color=#ffd700>Dornenschild</color>,<color=#ffd700>Defensa espinosa</color>,<color=#ffd700>Defesa espinhosa</color>,<color=#ffd700>Défense épineuse</color>
basic_spike.desc,Thorns: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Cost: {1}</color>,Шипы: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Dornen: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Kosten: {1}</color>,Espinas: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coste: {1}</color>,Espinhos: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Custo: {1}</color>,Épines: <color=#ffd700>+{0}</color>\n\n<color=#ffd700>Coût: {1}</color>
chaos_damage.name,<color=#ffd700>Chaos Damage</color>,<color=#ffd700>Урон хаосом</color>,<color=#ffd700>Chaosschaden</color>,<color=#ffd700>Daño de caos</color>,<color=#ffd700>Dano de caos</color>,<color=#ffd700>Dégâts de chaos</color>
chaos_damage.desc,<color=#B790FF>Chaos Damage:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Cost: {2}</color>,<color=#B790FF>Урон хаосом:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Стоимость: {2}</color>,<color=#B790FF>Chaosschaden:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Kosten: {2}</color>,<color=#B790FF>Daño de caos:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coste: {2}</color>,<color=#B790FF>Dano de caos:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Custo: {2}</color>,<color=#B790FF>Dégâts de chaos:</color> <color=#ffd700>+{1}%</color>\n\n<color=#ffd700>Coût: {2}</color>
damage.name,<color=#ffd700>Basic Attack</color>,<color=#ffd700>Базовая атака</color>,<color=#ffd700>Grundangriff</color>,<color=#ffd700>Ataque básico</color>,<color=#ffd700>Ataque básico</color>,<color=#ffd700>Attaque de base</color>
damage.desc,Total Damage: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Cost: {1}</color>,Общий урон: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Стоимость: {1}</color>,Gesamtschaden: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Kosten: {1}</color>,Daño total: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coste: {1}</color>,Dano total: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Custo: {1}</color>,Dégâts totaux: <color=#ffd700>+{0}%</color>\n\n<color=#ffd700>Coût: {1}</color>
heavy_damage.name,<color=#ffd700>Heavy Damage</color>,<color=#ffd700>Тяжелый урон</color>,<color=#ffd700>Schwerer Schaden</color>,<color=#ffd700>Daño pesado</color>,<color=#ffd700>Dano pesado</color>,<color=#ffd700>Dégâts lourds</color>
