Key,English(en),Russian(ru),German(de),Spanish(es),Portuguese(pt),French(fr)
axe.name,<color=#ffd700>Axe</color>,<color=#ffd700>Топор</color>,<color=#ffd700>Axt</color>,<color=#ffd700>Hacha</color>,<color=#ffd700>Machado</color>,<color=#ffd700>Hache</color>
axe.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
bow.name,<color=#ffd700>Crossbow</color>,<color=#ffd700>Арбалет</color>,<color=#ffd700>Armbrust</color>,<color=#ffd700>Ballesta</color>,<color=#ffd700>Besta</color>,<color=#ffd700>Arbalète</color>
bow.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
chaos_orb.name,<color=#ffd700>Chaos Orb</color>,<color=#ffd700>Сфера Хаоса</color>,<color=#ffd700>Chaoskugel</color>,<color=#ffd700>Orbe del caos</color>,<color=#ffd700>Orbe do caos</color>,<color=#ffd700>Orbe du chaos</color>
chaos_orb.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
magic_orb.name,<color=#ffd700>Magic Orb</color>,<color=#ffd700>Магическая сфера</color>,<color=#ffd700>Magiekugel</color>,<color=#ffd700>Orbe mágico</color>,<color=#ffd700>Orbe mágico</color>,<color=#ffd700>Orbe magique</color>
magic_orb.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
spear.name,<color=#ffd700>Spear</color>,<color=#ffd700>Копье</color>,<color=#ffd700>Speer</color>,<color=#ffd700>Lanza</color>,<color=#ffd700>Lança</color>,<color=#ffd700>Lance</color>
spear.desc,<color=#ffd700>Damage:</color> {0}\n<color=#ffd700>Damage type:</color> {1}\n<color=#ffd700>Attack speed:</color> {2}\n\n<color=#ffd700>Cost:</color> {3},<color=#ffd700>Урон:</color> {0}\n<color=#ffd700>Тип урона:</color> {1}\n<color=#ffd700>Скорость атаки:</color> {2}\n\n<color=#ffd700>Стоимость:</color>  {3},<color=#ffd700>Schaden:</color> {0}\n<color=#ffd700>Schadensart:</color> {1}\n<color=#ffd700>Angriffstempo:</color> {2}\n\n<color=#ffd700>Kosten:</color> {3},<color=#ffd700>Daño:</color> {0}\n<color=#ffd700>Tipo de daño:</color> {1}\n<color=#ffd700>Velocidad de ataque:</color> {2}\n\n<color=#ffd700>Coste:</color> {3},<color=#ffd700>Dano:</color> {0}\n<color=#ffd700>Tipo de dano:</color> {1}\n<color=#ffd700>Velocidade de ataque:</color> {2}\n\n<color=#ffd700>Custo:</color> {3},<color=#ffd700>Dégâts:</color> {0}\n<color=#ffd700>Type de dégâts:</color> {1}\n<color=#ffd700>Vitesse d'attaque:</color> {2}\n\n<color=#ffd700>Coût:</color> {3}
